F15C6,F11A6,F15F5
0,F10C3,F10A5,F10A3
1,F10C4,F10B3,F10C1
2,F10D1,F10B5,F10D5
3,F10F5,F10E3,F10G2
4,F11A6,F10E5,F11A3
5,F11B1,F10F1,F12F5
6,F11B5,F10F3,F15A6
7,F11C2,F11B2,F15C6
8,F11D2,F11D1,F15D1
9,F11D4,F11G3,F15D2
10,F12B1,F11G4,F15E7
11,F12B3,F12B2,F15F3
12,F12C6,F12D4,F16A5
13,F12E1,F15A3,F16B2
14,F12E4,F15C8,F16G3
15,F12E5,F15E1,F17C1
16,F12E6,F15F6,F17C2
17,F12F1,F15F8,F17E7
18,F12G1,F15H1,F18D2
19,F15A5,F16A2,F18E1
20,F15B5,F16B3,F5B1
21,F15C5,F16C1,F5B2
22,F15E2,F16F4,F5C1
23,F15E4,F16G4,F5C2
24,F15E5,F17A7,F5G2
25,F15F1,F17B7,F6A4
26,F15F5,F17F5,F6C4
27,F15H5,F17G5,F6E2
28,F16A4,F18E2,F6G3
29,F16B1,F5B3,F7C1
30,F16B6,F6F2,F8A1
31,F16D6,F6F4,F8B2
32,F16G6,F7A3,F8D3
33,F17B1,F7A6,F9A4
34,F17C7,F7B1,F9B6
35,F17D6,F8B5,F9G3
36,F17E6,F8C5,
37,F17F3,F8D4,
38,F17G3,F8E6,
39,F18B2,F8G2,
40,F18B4,F9A3,
41,F18C4,F9D6,
42,F18F2,,
43,F3F1,,
44,F5A2,,
45,F5A4,,
46,F5B4,,
47,F5C4,,
48,F5D1,,
49,F5E2,,
50,F5E4,,
51,F5F2,,
52,F6B2,,
53,F6B4,,
54,F6C2,,
55,F6D2,,
56,F6E4,,
57,F6G2,,
58,F7B2,,
59,F7B4,,
60,F7B5,,
61,F7B6,,
62,F7C2,,
63,F7C6,,
64,F7D2,,
65,F7D3,,
66,F7D4,,
67,F7D6,,
68,F7E2,,
69,F7E6,,
70,F7F2,,
71,F7F3,,
72,F7F6,,
73,F7G2,,
74,F7G5,,
75,F8A2,,
76,F8B4,,
77,F8G1,,
78,F9A2,,
79,F9A5,,
80,F9B4,,
81,F9C5,,
82,F9D3,,
83,F9F2,,
84,F9F3,,
