F10A3,F10A5,F10B3,F10B5,F10C1,F10C3,F10C4,F10D1,F10D5,F10E3,F10E5,F10F1,F10F3,F10F5,F10G2,F11A3,F11A6,F11B1,F11B2,F11B5,F11C2,F11D1,F11D2,F11D4,F11G3,F11G4,F12B1,F12B2,F12B3,F12C6,F12D4,F12E1,F12E4,F12E5,F12E6,F12F1,F12F5,F12G1,F15A3,F15A5,F15A6,F15B5,F15C5,F15C6,F15C8,F15D1,F15D2,F15E1,F15E2,F15E4,F15E5,F15E7,F15F1,F15F3,F15F5,F15F6,F15F8,F15H1,F15H5,F16A2,F16A4,F16A5,F16B1,F16B2,F16B3,F16B6,F16C1,F16D6,F16F4,F16G3,F16G4,F16G6,F17A7,F17B1,F17B7,F17C1,F17C2,F17C7,F17D6,F17E6,F17E7,F17F3,F17F5,F17G3,F17G5,F18B2,F18B4,F18C4,F18D2,F18E1,F18E2,F18F2,F3F1,F5A2,F5A4,F5B1,F5B2,F5B3,F5B4,F5C1,F5C2,F5C4,F5D1,F5E2,F5E4,F5F2,F5G2,F6A4,F6B2,F6B4,F6C2,F6C4,F6D2,F6E2,F6E4,F6F2,F6F4,F6G2,F6G3,F7A3,F7A6,F7B1,F7B2,F7B4,F7B5,F7B6,F7C1,F7C2,F7C6,F7D2,F7D3,F7D4,F7D6,F7E2,F7E6,F7F2,F7F3,F7F6,F7G2,F7G5,F8A1,F8A2,F8B2,F8B4,F8B5,F8C5,F8D3,F8D4,F8E6,F8G1,F8G2,F9A2,F9A3,F9A4,F9A5,F9B4,F9B6,F9C5,F9D3,F9D6,F9F2,F9F3,F9G3
F10A3,0.0,0.9761904761904762,1.0,0.5466666666666666,0.9761904761904762,0.5753424657534247,0.8695652173913043,0.6491228070175439,1.0,1.0,0.5571428571428572,0.49230769230769234,0.9130434782608696,0.8913043478260869,0.7941176470588236,0.5,0.8863636363636364,0.8846153846153846,0.7872340425531915,0.8571428571428572,0.5,0.5818181818181818,0.8958333333333334,0.8214285714285714,0.7142857142857143,0.9523809523809523,0.9761904761904762,0.9761904761904762,0.9591836734693877,0.8695652173913043,0.9761904761904762,0.5,0.9361702127659575,0.9375,0.8936170212765957,0.9761904761904762,0.467741935483871,0.8431372549019608,0.9761904761904762,0.9302325581395349,0.7358490566037736,0.9761904761904762,0.8235294117647058,0.9318181818181819,0.803921568627451,0.603448275862069,0.6785714285714286,0.7843137254901961,0.9534883720930233,0.9555555555555556,0.8367346938775511,0.78125,0.9761904761904762,1.0,0.8148148148148149,0.9761904761904762,0.9318181818181819,0.9375,0.8979591836734694,1.0,0.8837209302325582,0.546875,0.9090909090909091,0.7090909090909091,0.9347826086956522,0.8269230769230769,0.9772727272727273,0.9574468085106383,0.9761904761904762,1.0,0.851063829787234,0.74,0.8627450980392157,0.8627450980392157,0.9111111111111111,0.7115384615384616,0.9111111111111111,0.7777777777777778,0.9361702127659575,0.9534883720930233,0.9761904761904762,0.8936170212765957,0.75,0.7234042553191489,0.7555555555555555,0.8333333333333334,0.8571428571428572,0.9318181818181819,0.9565217391304348,0.9038461538461539,0.9318181818181819,0.9111111111111111,0.5147058823529411,0.9347826086956522,0.9148936170212766,0.6857142857142857,0.6607142857142857,0.9148936170212766,0.8913043478260869,0.9574468085106383,0.9545454545454546,0.9761904761904762,0.9534883720930233,1.0,0.8888888888888888,0.9090909090909091,0.9090909090909091,0.5616438356164384,0.9761904761904762,0.9767441860465116,0.9333333333333333,0.803921568627451,0.9607843137254902,0.7818181818181819,0.7916666666666666,0.8571428571428572,0.9285714285714286,1.0,0.9523809523809523,0.9777777777777777,0.5,0.5342465753424658,1.0,0.8409090909090909,0.9523809523809523,0.8723404255319149,0.9761904761904762,0.9767441860465116,0.9111111111111111,0.9767441860465116,0.9523809523809523,0.8070175438596492,1.0,0.9782608695652174,1.0,1.0,0.5,1.0,1.0,0.9302325581395349,0.8627450980392157,0.9285714285714286,0.9302325581395349,1.0,0.6323529411764706,0.7049180327868853,0.6774193548387097,1.0,0.8604651162790697,0.9565217391304348,0.9777777777777777,0.9761904761904762,0.9545454545454546,0.9761904761904762,0.8181818181818181,1.0,0.7755102040816326,0.9038461538461539,0.8666666666666667,0.8913043478260869,0.6666666666666667,0.7407407407407407,0.7333333333333334
F10A5,0.9761904761904762,0.0,1.0,0.9850746268656716,1.0,0.9838709677419355,1.0,1.0,1.0,1.0,0.9830508474576272,0.9821428571428571,1.0,1.0,1.0,0.9824561403508771,1.0,1.0,1.0,1.0,0.9841269841269842,0.9722222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.9814814814814815,1.0,1.0,1.0,1.0,0.9811320754716981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9803921568627451,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,0.8571428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9830508474576272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841269841269842,1.0,1.0,1.0,0.9473684210526316,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616,1.0,1.0,1.0,1.0,0.9855072463768116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9803921568627451,0.972972972972973,0.975,1.0,0.8571428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616,1.0
F10B3,1.0,1.0,0.0,0.9850746268656716,1.0,0.9838709677419355,1.0,1.0,1.0,1.0,0.9830508474576272,0.9821428571428571,1.0,1.0,0.975,0.9824561403508771,1.0,1.0,1.0,1.0,0.9841269841269842,1.0,0.9090909090909091,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9473684210526316,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,1.0,0.9545454545454546,1.0,1.0,1.0,1.0,1.0,1.0,0.9803921568627451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9830508474576272,0.8571428571428572,1.0,0.98,0.9696969696969697,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841269841269842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9846153846153847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9855072463768116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9803921568627451,0.972972972972973,0.975,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F10B5,0.5466666666666666,0.9850746268656716,0.9850746268656716,0.0,0.9850746268656716,0.3026315789473685,0.8507462686567164,0.5633802816901409,0.9850746268656716,0.9850746268656716,0.31999999999999995,0.31506849315068497,0.8970588235294118,0.8823529411764706,0.5540540540540541,0.32432432432432434,0.927536231884058,0.7794117647058824,0.7941176470588236,0.9264705882352942,0.3116883116883117,0.5492957746478873,0.8695652173913043,0.6811594202898551,0.6338028169014085,0.9701492537313433,0.9850746268656716,0.9850746268656716,0.8656716417910448,0.8676470588235294,0.9850746268656716,0.3648648648648649,0.9130434782608696,0.8656716417910448,0.8676470588235294,0.9850746268656716,0.4,0.8169014084507042,0.9850746268656716,0.9558823529411765,0.7222222222222222,0.9850746268656716,0.7313432835820896,0.9253731343283582,0.7536231884057971,0.48571428571428577,0.6438356164383562,0.7391304347826086,0.9552238805970149,0.9253731343283582,0.8285714285714285,0.5492957746478873,0.9850746268656716,0.9850746268656716,0.7464788732394366,0.9850746268656716,0.9253731343283582,0.8656716417910448,0.8208955223880597,0.9402985074626866,0.9104477611940298,0.3380281690140845,0.9571428571428572,0.6849315068493151,0.9117647058823529,0.7536231884057971,0.9552238805970149,0.9117647058823529,0.9850746268656716,0.9850746268656716,0.855072463768116,0.7605633802816901,0.8142857142857143,0.7971014492753623,0.927536231884058,0.704225352112676,0.9117647058823529,0.8059701492537313,0.9285714285714286,0.9705882352941176,0.9850746268656716,0.8676470588235294,0.75,0.75,0.791044776119403,0.7605633802816901,0.8088235294117647,0.9411764705882353,0.9264705882352942,0.8450704225352113,0.9411764705882353,0.9428571428571428,0.29729729729729726,0.9117647058823529,0.8656716417910448,0.4605263157894737,0.6301369863013699,0.8985507246376812,0.8985507246376812,0.8955223880597015,0.9558823529411765,1.0,0.9552238805970149,0.9850746268656716,0.9285714285714286,0.9264705882352942,0.9420289855072463,0.2894736842105263,0.9850746268656716,0.9701492537313433,0.9264705882352942,0.7887323943661972,0.8695652173913043,0.7222222222222222,0.8142857142857143,0.8088235294117647,0.9705882352941176,0.9850746268656716,0.9701492537313433,0.9402985074626866,0.3013698630136986,0.26315789473684215,0.9850746268656716,0.8985507246376812,0.9701492537313433,0.835820895522388,0.9850746268656716,0.9701492537313433,0.9428571428571428,0.9701492537313433,0.9701492537313433,0.6714285714285715,0.9850746268656716,0.9253731343283582,0.9850746268656716,0.9850746268656716,0.21052631578947367,0.9850746268656716,0.9850746268656716,0.9558823529411765,0.8472222222222222,0.9552238805970149,0.9402985074626866,0.9850746268656716,0.36111111111111116,0.5753424657534247,0.5733333333333333,0.9850746268656716,0.927536231884058,0.9104477611940298,0.9558823529411765,0.9850746268656716,0.9402985074626866,0.9850746268656716,0.8507462686567164,0.9850746268656716,0.7313432835820896,0.7941176470588236,0.8823529411764706,0.8823529411764706,0.5,0.7083333333333333,0.7941176470588236
F10C1,0.9761904761904762,1.0,1.0,0.9850746268656716,0.0,0.9838709677419355,0.9,0.9714285714285714,1.0,1.0,0.9830508474576272,0.9821428571428571,1.0,1.0,1.0,0.9824561403508771,1.0,1.0,0.9333333333333333,1.0,0.9841269841269842,0.9722222222222222,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,0.96875,1.0,0.6666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.9166666666666666,1.0,1.0,0.9803921568627451,1.0,1.0,1.0,0.9473684210526316,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,1.0,0.9375,1.0,0.96,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,0.9444444444444444,0.9444444444444444,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9830508474576272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9824561403508771,0.9846153846153847,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9855072463768116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9803921568627451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.9736842105263158,1.0,1.0
F10C3,0.5753424657534247,0.9838709677419355,0.9838709677419355,0.3026315789473685,0.9838709677419355,0.0,0.9253731343283582,0.6142857142857143,0.9838709677419355,0.9838709677419355,0.3648648648648649,0.42666666666666664,0.8709677419354839,0.873015873015873,0.5633802816901409,0.3918918918918919,0.9047619047619048,0.78125,0.8153846153846154,0.9206349206349207,0.31081081081081086,0.6388888888888888,0.8769230769230769,0.696969696969697,0.6268656716417911,0.967741935483871,0.9838709677419355,1.0,0.890625,0.8571428571428572,0.9838709677419355,0.43243243243243246,0.90625,0.890625,0.875,0.9838709677419355,0.4246575342465754,0.7258064516129032,0.9838709677419355,0.935483870967742,0.7014925373134329,0.9838709677419355,0.7878787878787878,0.9365079365079365,0.791044776119403,0.5571428571428572,0.6176470588235294,0.7761194029850746,0.9682539682539683,0.9848484848484849,0.7777777777777778,0.5373134328358209,0.9838709677419355,1.0,0.6875,0.9838709677419355,0.9193548387096774,0.9076923076923077,0.9117647058823529,0.935483870967742,0.9696969696969697,0.513157894736842,0.9375,0.7183098591549295,0.9047619047619048,0.7538461538461538,0.9682539682539683,0.9047619047619048,1.0,0.9838709677419355,0.8955223880597015,0.7230769230769231,0.8,0.7619047619047619,0.9047619047619048,0.7014925373134329,0.8870967741935484,0.8805970149253731,0.8709677419354839,0.9516129032258065,0.9838709677419355,0.875,0.8571428571428572,0.8405797101449275,0.8656716417910448,0.7794117647058824,0.8307692307692307,0.9193548387096774,0.9206349206349207,0.8153846153846154,0.9365079365079365,0.8870967741935484,0.4078947368421053,0.8870967741935484,0.873015873015873,0.4444444444444444,0.6805555555555556,0.8548387096774194,0.873015873015873,0.921875,0.935483870967742,0.9838709677419355,0.9516129032258065,0.9838709677419355,0.8709677419354839,0.9032258064516129,0.9032258064516129,0.37662337662337664,0.9838709677419355,0.9841269841269842,0.9206349206349207,0.7538461538461538,0.8412698412698413,0.6615384615384615,0.8181818181818181,0.8656716417910448,0.9516129032258065,0.9838709677419355,0.967741935483871,0.9523809523809523,0.3918918918918919,0.35064935064935066,0.9838709677419355,0.873015873015873,0.967741935483871,0.9264705882352942,0.9838709677419355,0.967741935483871,0.9047619047619048,0.967741935483871,0.9841269841269842,0.7428571428571429,0.9838709677419355,0.9193548387096774,0.9838709677419355,0.9838709677419355,0.2987012987012987,0.9838709677419355,0.9838709677419355,0.935483870967742,0.8,0.9682539682539683,0.9523809523809523,0.9838709677419355,0.472972972972973,0.6056338028169015,0.5633802816901409,0.9838709677419355,0.921875,0.9375,0.9523809523809523,0.9838709677419355,0.9523809523809523,0.9838709677419355,0.9253731343283582,0.9838709677419355,0.7096774193548387,0.796875,0.8548387096774194,0.8548387096774194,0.5294117647058824,0.6666666666666667,0.8676470588235294
F10C4,0.8695652173913043,1.0,1.0,0.8507462686567164,0.9,0.9253731343283582,0.0,0.75,1.0,1.0,0.8688524590163934,0.8421052631578947,0.9411764705882353,0.8823529411764706,0.9795918367346939,0.8245614035087719,0.9375,1.0,0.8095238095238095,1.0,0.859375,0.85,1.0,0.8666666666666667,0.9189189189189189,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428572,0.875,0.8125,0.8235294117647058,1.0,0.8545454545454545,0.9615384615384616,1.0,1.0,1.0,1.0,0.88,1.0,0.8846153846153846,0.8863636363636364,0.9230769230769231,0.9285714285714286,0.7,0.9285714285714286,0.9130434782608696,0.9302325581395349,1.0,1.0,0.896551724137931,1.0,1.0,0.7333333333333334,0.625,0.9230769230769231,0.7692307692307692,0.8269230769230769,0.9333333333333333,0.9166666666666666,1.0,0.8846153846153846,1.0,1.0,1.0,1.0,0.8421052631578947,0.8518518518518519,1.0,0.9166666666666666,1.0,0.8709677419354839,0.8666666666666667,0.5625,0.9411764705882353,1.0,1.0,0.8888888888888888,0.782608695652174,0.5263157894736843,0.8,0.8518518518518519,0.8571428571428572,1.0,1.0,1.0,1.0,1.0,0.8305084745762712,1.0,1.0,0.9285714285714286,0.925,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8769230769230769,1.0,0.9090909090909091,1.0,1.0,0.95,1.0,0.8695652173913043,0.8571428571428572,1.0,1.0,1.0,0.9230769230769231,0.8245614035087719,0.8461538461538461,1.0,1.0,1.0,0.6,0.9,1.0,1.0,1.0,0.8,0.9090909090909091,1.0,1.0,1.0,1.0,0.8714285714285714,1.0,1.0,0.9230769230769231,1.0,1.0,0.9230769230769231,1.0,0.8909090909090909,0.9069767441860466,0.9583333333333334,1.0,0.9375,0.7692307692307692,1.0,0.9,0.9230769230769231,0.9,0.75,1.0,0.88,0.9130434782608696,1.0,0.9444444444444444,0.9090909090909091,0.9090909090909091,0.8636363636363636
F10D1,0.6491228070175439,1.0,1.0,0.5633802816901409,0.9714285714285714,0.6142857142857143,0.75,0.0,1.0,0.9714285714285714,0.676056338028169,0.6417910447761195,0.7714285714285715,0.7428571428571429,0.8461538461538461,0.6666666666666667,0.8947368421052632,0.725,0.5714285714285714,0.8285714285714285,0.5151515151515151,0.6346153846153846,0.9545454545454546,0.6888888888888889,0.7735849056603774,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9523809523809523,0.7142857142857143,1.0,0.6911764705882353,0.8974358974358975,0.8108108108108107,0.7142857142857143,0.9714285714285714,0.5806451612903225,0.5945945945945945,1.0,0.8857142857142857,0.9830508474576272,0.9714285714285714,0.641025641025641,1.0,0.851063829787234,0.8787878787878788,0.7592592592592593,0.9215686274509804,0.9142857142857143,0.9189189189189189,0.6842105263157895,0.8166666666666667,1.0,1.0,0.575,1.0,0.8571428571428572,0.7428571428571429,0.6571428571428571,0.9459459459459459,0.8918918918918919,0.8055555555555556,0.975,0.9333333333333333,0.975609756097561,0.5,1.0,0.8648648648648649,1.0,0.9714285714285714,0.7297297297297297,0.4864864864864865,0.9591836734693877,0.5833333333333333,0.975609756097561,0.8,0.9230769230769231,0.736842105263158,0.868421052631579,0.9444444444444444,1.0,0.9024390243902439,0.7954545454545454,0.641025641025641,0.8604651162790697,0.5263157894736843,0.8048780487804879,0.8571428571428572,1.0,0.9795918367346939,0.8888888888888888,0.8648648648648649,0.5538461538461539,1.0,0.9523809523809523,0.8194444444444444,0.9206349206349207,0.8421052631578947,0.9767441860465116,0.975609756097561,0.9736842105263158,0.9714285714285714,0.972972972972973,1.0,0.925,0.975,1.0,0.7105263157894737,1.0,0.9428571428571428,0.9487179487179487,0.9615384615384616,0.7894736842105263,0.9830508474576272,0.5428571428571429,0.9111111111111111,0.9444444444444444,1.0,0.9722222222222222,0.9459459459459459,0.5396825396825398,0.5507246376811594,0.9714285714285714,0.9767441860465116,1.0,0.6857142857142857,0.9714285714285714,0.9722222222222222,0.8648648648648649,0.9428571428571428,0.9428571428571428,0.7021276595744681,0.9714285714285714,0.8888888888888888,0.9714285714285714,0.9714285714285714,0.5555555555555556,0.9714285714285714,0.9714285714285714,0.8857142857142857,0.9148936170212766,0.9142857142857143,0.9736842105263158,0.9714285714285714,0.821917808219178,0.8387096774193549,0.8461538461538461,1.0,0.95,0.9210526315789473,0.9459459459459459,0.9714285714285714,0.9166666666666666,0.9714285714285714,0.7837837837837838,1.0,0.8222222222222222,0.75,0.7428571428571429,0.7777777777777778,0.5686274509803921,0.8909090909090909,0.8636363636363636
F10D5,1.0,1.0,1.0,0.9850746268656716,1.0,0.9838709677419355,1.0,1.0,0.0,1.0,0.9830508474576272,1.0,1.0,1.0,0.975,0.9824561403508771,1.0,1.0,1.0,1.0,0.9841269841269842,1.0,0.9090909090909091,0.9583333333333334,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,0.95,1.0,1.0,1.0,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9803921568627451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,1.0,1.0,0.9830508474576272,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841269841269842,1.0,1.0,1.0,0.9473684210526316,1.0,0.96,1.0,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,0.9846153846153847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616,1.0,1.0,1.0,1.0,0.9855072463768116,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9803921568627451,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.9736842105263158,0.9615384615384616,1.0
F10E3,1.0,1.0,1.0,0.9850746268656716,1.0,0.9838709677419355,1.0,0.9714285714285714,1.0,0.0,0.9830508474576272,0.9821428571428571,1.0,1.0,0.975,1.0,1.0,0.9375,1.0,1.0,0.9841269841269842,1.0,1.0,0.9583333333333334,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.9814814814814815,1.0,0.8888888888888888,1.0,1.0,0.9811320754716981,1.0,1.0,0.75,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.9166666666666666,0.75,1.0,1.0,1.0,1.0,1.0,0.9473684210526316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,0.96,0.8571428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,0.9830508474576272,1.0,1.0,0.98,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841269841269842,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9824561403508771,0.9846153846153847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.9855072463768116,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.9736842105263158,0.9615384615384616,1.0
