F10A3,F10A5,F10B3,F10B5,F10C1,F10C3,F10C4,F10D1,F10D5,F10E3,F10E5,F10F1,F10F3,F10F5,F10G2,F11A3,F11A6,F11B1,F11B2,F11B5,F11C2,F11D1,F11D2,F11D4,F11G3,F11G4,F12B1,F12B2,F12B3,F12C6,F12D4,F12E1,F12E4,F12E5,F12E6,F12F1,F12F5,F12G1,F15A3,F15A5,F15A6,F15B5,F15C5,F15C6,F15C8,F15D1,F15D2,F15E1,F15E2,F15E4,F15E5,F15E7,F15F1,F15F3,F15F5,F15F6,F15F8,F15H1,F15H5,F16A2,F16A4,F16A5,F16B1,F16B2,F16B3,F16B6,F16C1,F16D6,F16F4,F16G3,F16G4,F16G6,F17A7,F17B1,F17B7,F17C1,F17C2,F17C7,F17D6,F17E6,F17E7,F17F3,F17F5,F17G3,F17G5,F18B2,F18B4,F18C4,F18D2,F18E1,F18E2,F18F2,F3F1,F5A2,F5A4,F5B1,F5B2,F5B3,F5B4,F5C1,F5C2,F5C4,F5D1,F5E2,F5E4,F5F2,F5G2,F6A4,F6B2,F6B4,F6C2,F6C4,F6D2,F6E2,F6E4,F6F2,F6F4,F6G2,F6G3,F7A3,F7A6,F7B1,F7B2,F7B4,F7B5,F7B6,F7C1,F7C2,F7C6,F7D2,F7D3,F7D4,F7D6,F7E2,F7E6,F7F2,F7F3,F7F6,F7G2,F7G5,F8A1,F8A2,F8B2,F8B4,F8B5,F8C5,F8D3,F8D4,F8E6,F8G1,F8G2,F9A2,F9A3,F9A4,F9A5,F9B4,F9B6,F9C5,F9D3,F9D6,F9F2,F9F3,F9G3
F10A3,1.0,0.023809523809523808,0.0,0.4533333333333333,0.023809523809523808,0.4246575342465753,0.13043478260869565,0.3508771929824561,0.0,0.0,0.44285714285714284,0.5076923076923077,0.08695652173913043,0.10869565217391304,0.20588235294117646,0.5,0.11363636363636363,0.11538461538461539,0.2127659574468085,0.14285714285714285,0.5,0.41818181818181815,0.10416666666666667,0.17857142857142858,0.2857142857142857,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.04081632653061224,0.13043478260869565,0.023809523809523808,0.5,0.06382978723404255,0.0625,0.10638297872340426,0.023809523809523808,0.532258064516129,0.1568627450980392,0.023809523809523808,0.06976744186046512,0.2641509433962264,0.023809523809523808,0.17647058823529413,0.06818181818181818,0.19607843137254902,0.39655172413793105,0.32142857142857145,0.21568627450980393,0.046511627906976744,0.044444444444444446,0.16326530612244897,0.21875,0.023809523809523808,0.0,0.18518518518518517,0.023809523809523808,0.06818181818181818,0.0625,0.10204081632653061,0.0,0.11627906976744186,0.453125,0.09090909090909091,0.2909090909090909,0.06521739130434782,0.17307692307692307,0.022727272727272728,0.0425531914893617,0.023809523809523808,0.0,0.14893617021276595,0.26,0.13725490196078433,0.13725490196078433,0.08888888888888889,0.28846153846153844,0.08888888888888889,0.2222222222222222,0.06382978723404255,0.046511627906976744,0.023809523809523808,0.10638297872340426,0.25,0.2765957446808511,0.24444444444444444,0.16666666666666666,0.14285714285714285,0.06818181818181818,0.043478260869565216,0.09615384615384616,0.06818181818181818,0.08888888888888889,0.4852941176470588,0.06521739130434782,0.0851063829787234,0.3142857142857143,0.3392857142857143,0.0851063829787234,0.10869565217391304,0.0425531914893617,0.045454545454545456,0.023809523809523808,0.046511627906976744,0.0,0.1111111111111111,0.09090909090909091,0.09090909090909091,0.4383561643835616,0.023809523809523808,0.023255813953488372,0.06666666666666667,0.19607843137254902,0.0392156862745098,0.21818181818181817,0.20833333333333334,0.14285714285714285,0.07142857142857142,0.0,0.047619047619047616,0.022222222222222223,0.5,0.4657534246575342,0.0,0.1590909090909091,0.047619047619047616,0.1276595744680851,0.023809523809523808,0.023255813953488372,0.08888888888888889,0.023255813953488372,0.047619047619047616,0.19298245614035087,0.0,0.021739130434782608,0.0,0.0,0.5,0.0,0.0,0.06976744186046512,0.13725490196078433,0.07142857142857142,0.06976744186046512,0.0,0.36764705882352944,0.29508196721311475,0.3225806451612903,0.0,0.13953488372093023,0.043478260869565216,0.022222222222222223,0.023809523809523808,0.045454545454545456,0.023809523809523808,0.18181818181818182,0.0,0.22448979591836735,0.09615384615384616,0.13333333333333333,0.10869565217391304,0.3333333333333333,0.25925925925925924,0.26666666666666666
F10A5,0.023809523809523808,1.0,0.0,0.014925373134328358,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.01694915254237288,0.017857142857142856,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.015873015873015872,0.027777777777777776,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.05263157894736842,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.02702702702702703,0.025,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0
F10B3,0.0,0.0,1.0,0.014925373134328358,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.01694915254237288,0.017857142857142856,0.0,0.0,0.025,0.017543859649122806,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.09090909090909091,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.14285714285714285,0.0,0.02,0.030303030303030304,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.02702702702702703,0.025,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F10B5,0.4533333333333333,0.014925373134328358,0.014925373134328358,1.0,0.014925373134328358,0.6973684210526315,0.14925373134328357,0.43661971830985913,0.014925373134328358,0.014925373134328358,0.68,0.684931506849315,0.10294117647058823,0.11764705882352941,0.44594594594594594,0.6756756756756757,0.07246376811594203,0.22058823529411764,0.20588235294117646,0.07352941176470588,0.6883116883116883,0.4507042253521127,0.13043478260869565,0.3188405797101449,0.36619718309859156,0.029850746268656716,0.014925373134328358,0.014925373134328358,0.13432835820895522,0.1323529411764706,0.014925373134328358,0.6351351351351351,0.08695652173913043,0.13432835820895522,0.1323529411764706,0.014925373134328358,0.6,0.18309859154929578,0.014925373134328358,0.04411764705882353,0.2777777777777778,0.014925373134328358,0.26865671641791045,0.07462686567164178,0.2463768115942029,0.5142857142857142,0.3561643835616438,0.2608695652173913,0.04477611940298507,0.07462686567164178,0.17142857142857143,0.4507042253521127,0.014925373134328358,0.014925373134328358,0.2535211267605634,0.014925373134328358,0.07462686567164178,0.13432835820895522,0.1791044776119403,0.05970149253731343,0.08955223880597014,0.6619718309859155,0.04285714285714286,0.3150684931506849,0.08823529411764706,0.2463768115942029,0.04477611940298507,0.08823529411764706,0.014925373134328358,0.014925373134328358,0.14492753623188406,0.23943661971830985,0.18571428571428572,0.2028985507246377,0.07246376811594203,0.29577464788732394,0.08823529411764706,0.19402985074626866,0.07142857142857142,0.029411764705882353,0.014925373134328358,0.1323529411764706,0.25,0.25,0.208955223880597,0.23943661971830985,0.19117647058823528,0.058823529411764705,0.07352941176470588,0.15492957746478872,0.058823529411764705,0.05714285714285714,0.7027027027027027,0.08823529411764706,0.13432835820895522,0.5394736842105263,0.3698630136986301,0.10144927536231885,0.10144927536231885,0.1044776119402985,0.04411764705882353,0.0,0.04477611940298507,0.014925373134328358,0.07142857142857142,0.07352941176470588,0.057971014492753624,0.7105263157894737,0.014925373134328358,0.029850746268656716,0.07352941176470588,0.2112676056338028,0.13043478260869565,0.2777777777777778,0.18571428571428572,0.19117647058823528,0.029411764705882353,0.014925373134328358,0.029850746268656716,0.05970149253731343,0.6986301369863014,0.7368421052631579,0.014925373134328358,0.10144927536231885,0.029850746268656716,0.16417910447761194,0.014925373134328358,0.029850746268656716,0.05714285714285714,0.029850746268656716,0.029850746268656716,0.32857142857142857,0.014925373134328358,0.07462686567164178,0.014925373134328358,0.014925373134328358,0.7894736842105263,0.014925373134328358,0.014925373134328358,0.04411764705882353,0.1527777777777778,0.04477611940298507,0.05970149253731343,0.014925373134328358,0.6388888888888888,0.4246575342465753,0.4266666666666667,0.014925373134328358,0.07246376811594203,0.08955223880597014,0.04411764705882353,0.014925373134328358,0.05970149253731343,0.014925373134328358,0.14925373134328357,0.014925373134328358,0.26865671641791045,0.20588235294117646,0.11764705882352941,0.11764705882352941,0.5,0.2916666666666667,0.20588235294117646
F10C1,0.023809523809523808,0.0,0.0,0.014925373134328358,1.0,0.016129032258064516,0.1,0.02857142857142857,0.0,0.0,0.01694915254237288,0.017857142857142856,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.06666666666666667,0.0,0.015873015873015872,0.027777777777777776,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.03125,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.08333333333333333,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0625,0.0,0.04,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.015384615384615385,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.02631578947368421,0.0,0.0
F10C3,0.4246575342465753,0.016129032258064516,0.016129032258064516,0.6973684210526315,0.016129032258064516,1.0,0.07462686567164178,0.38571428571428573,0.016129032258064516,0.016129032258064516,0.6351351351351351,0.5733333333333334,0.12903225806451613,0.12698412698412698,0.43661971830985913,0.6081081081081081,0.09523809523809523,0.21875,0.18461538461538463,0.07936507936507936,0.6891891891891891,0.3611111111111111,0.12307692307692308,0.30303030303030304,0.373134328358209,0.03225806451612903,0.016129032258064516,0.0,0.109375,0.14285714285714285,0.016129032258064516,0.5675675675675675,0.09375,0.109375,0.125,0.016129032258064516,0.5753424657534246,0.27419354838709675,0.016129032258064516,0.06451612903225806,0.29850746268656714,0.016129032258064516,0.21212121212121213,0.06349206349206349,0.208955223880597,0.44285714285714284,0.38235294117647056,0.22388059701492538,0.031746031746031744,0.015151515151515152,0.2222222222222222,0.4626865671641791,0.016129032258064516,0.0,0.3125,0.016129032258064516,0.08064516129032258,0.09230769230769231,0.08823529411764706,0.06451612903225806,0.030303030303030304,0.4868421052631579,0.0625,0.28169014084507044,0.09523809523809523,0.24615384615384617,0.031746031746031744,0.09523809523809523,0.0,0.016129032258064516,0.1044776119402985,0.27692307692307694,0.2,0.23809523809523808,0.09523809523809523,0.29850746268656714,0.11290322580645161,0.11940298507462686,0.12903225806451613,0.04838709677419355,0.016129032258064516,0.125,0.14285714285714285,0.15942028985507245,0.13432835820895522,0.22058823529411764,0.16923076923076924,0.08064516129032258,0.07936507936507936,0.18461538461538463,0.06349206349206349,0.11290322580645161,0.5921052631578947,0.11290322580645161,0.12698412698412698,0.5555555555555556,0.3194444444444444,0.14516129032258066,0.12698412698412698,0.078125,0.06451612903225806,0.016129032258064516,0.04838709677419355,0.016129032258064516,0.12903225806451613,0.0967741935483871,0.0967741935483871,0.6233766233766234,0.016129032258064516,0.015873015873015872,0.07936507936507936,0.24615384615384617,0.15873015873015872,0.3384615384615385,0.18181818181818182,0.13432835820895522,0.04838709677419355,0.016129032258064516,0.03225806451612903,0.047619047619047616,0.6081081081081081,0.6493506493506493,0.016129032258064516,0.12698412698412698,0.03225806451612903,0.07352941176470588,0.016129032258064516,0.03225806451612903,0.09523809523809523,0.03225806451612903,0.015873015873015872,0.2571428571428571,0.016129032258064516,0.08064516129032258,0.016129032258064516,0.016129032258064516,0.7012987012987013,0.016129032258064516,0.016129032258064516,0.06451612903225806,0.2,0.031746031746031744,0.047619047619047616,0.016129032258064516,0.527027027027027,0.39436619718309857,0.43661971830985913,0.016129032258064516,0.078125,0.0625,0.047619047619047616,0.016129032258064516,0.047619047619047616,0.016129032258064516,0.07462686567164178,0.016129032258064516,0.2903225806451613,0.203125,0.14516129032258066,0.14516129032258066,0.47058823529411764,0.3333333333333333,0.1323529411764706
F10C4,0.13043478260869565,0.0,0.0,0.14925373134328357,0.1,0.07462686567164178,1.0,0.25,0.0,0.0,0.13114754098360656,0.15789473684210525,0.058823529411764705,0.11764705882352941,0.02040816326530612,0.17543859649122806,0.0625,0.0,0.19047619047619047,0.0,0.140625,0.15,0.0,0.13333333333333333,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.125,0.1875,0.17647058823529413,0.0,0.14545454545454545,0.038461538461538464,0.0,0.0,0.0,0.0,0.12,0.0,0.11538461538461539,0.11363636363636363,0.07692307692307693,0.07142857142857142,0.3,0.07142857142857142,0.08695652173913043,0.06976744186046512,0.0,0.0,0.10344827586206896,0.0,0.0,0.26666666666666666,0.375,0.07692307692307693,0.23076923076923078,0.17307692307692307,0.06666666666666667,0.08333333333333333,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.15789473684210525,0.14814814814814814,0.0,0.08333333333333333,0.0,0.12903225806451613,0.13333333333333333,0.4375,0.058823529411764705,0.0,0.0,0.1111111111111111,0.21739130434782608,0.47368421052631576,0.2,0.14814814814814814,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.1694915254237288,0.0,0.0,0.07142857142857142,0.075,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12307692307692308,0.0,0.09090909090909091,0.0,0.0,0.05,0.0,0.13043478260869565,0.14285714285714285,0.0,0.0,0.0,0.07692307692307693,0.17543859649122806,0.15384615384615385,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.2,0.09090909090909091,0.0,0.0,0.0,0.0,0.12857142857142856,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.10909090909090909,0.09302325581395349,0.041666666666666664,0.0,0.0625,0.23076923076923078,0.0,0.1,0.07692307692307693,0.1,0.25,0.0,0.12,0.08695652173913043,0.0,0.05555555555555555,0.09090909090909091,0.09090909090909091,0.13636363636363635
F10D1,0.3508771929824561,0.0,0.0,0.43661971830985913,0.02857142857142857,0.38571428571428573,0.25,1.0,0.0,0.02857142857142857,0.323943661971831,0.3582089552238806,0.22857142857142856,0.2571428571428571,0.15384615384615385,0.3333333333333333,0.10526315789473684,0.275,0.42857142857142855,0.17142857142857143,0.48484848484848486,0.36538461538461536,0.045454545454545456,0.3111111111111111,0.22641509433962265,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.047619047619047616,0.2857142857142857,0.0,0.3088235294117647,0.10256410256410256,0.1891891891891892,0.2857142857142857,0.02857142857142857,0.41935483870967744,0.40540540540540543,0.0,0.11428571428571428,0.01694915254237288,0.02857142857142857,0.358974358974359,0.0,0.14893617021276595,0.12121212121212122,0.24074074074074073,0.0784313725490196,0.08571428571428572,0.08108108108108109,0.3157894736842105,0.18333333333333332,0.0,0.0,0.425,0.0,0.14285714285714285,0.2571428571428571,0.34285714285714286,0.05405405405405406,0.10810810810810811,0.19444444444444445,0.025,0.06666666666666667,0.024390243902439025,0.5,0.0,0.13513513513513514,0.0,0.02857142857142857,0.2702702702702703,0.5135135135135135,0.04081632653061224,0.4166666666666667,0.024390243902439025,0.2,0.07692307692307693,0.2631578947368421,0.13157894736842105,0.05555555555555555,0.0,0.0975609756097561,0.20454545454545456,0.358974358974359,0.13953488372093023,0.47368421052631576,0.1951219512195122,0.14285714285714285,0.0,0.02040816326530612,0.1111111111111111,0.13513513513513514,0.4461538461538462,0.0,0.047619047619047616,0.18055555555555555,0.07936507936507936,0.15789473684210525,0.023255813953488372,0.024390243902439025,0.02631578947368421,0.02857142857142857,0.02702702702702703,0.0,0.075,0.025,0.0,0.2894736842105263,0.0,0.05714285714285714,0.05128205128205128,0.038461538461538464,0.21052631578947367,0.01694915254237288,0.45714285714285713,0.08888888888888889,0.05555555555555555,0.0,0.027777777777777776,0.05405405405405406,0.4603174603174603,0.4492753623188406,0.02857142857142857,0.023255813953488372,0.0,0.3142857142857143,0.02857142857142857,0.027777777777777776,0.13513513513513514,0.05714285714285714,0.05714285714285714,0.2978723404255319,0.02857142857142857,0.1111111111111111,0.02857142857142857,0.02857142857142857,0.4444444444444444,0.02857142857142857,0.02857142857142857,0.11428571428571428,0.0851063829787234,0.08571428571428572,0.02631578947368421,0.02857142857142857,0.1780821917808219,0.16129032258064516,0.15384615384615385,0.0,0.05,0.07894736842105263,0.05405405405405406,0.02857142857142857,0.08333333333333333,0.02857142857142857,0.21621621621621623,0.0,0.17777777777777778,0.25,0.2571428571428571,0.2222222222222222,0.43137254901960786,0.10909090909090909,0.13636363636363635
F10D5,0.0,0.0,0.0,0.014925373134328358,0.0,0.016129032258064516,0.0,0.0,1.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.025,0.017543859649122806,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.09090909090909091,0.041666666666666664,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.05,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.06666666666666667,0.0,0.0,0.01694915254237288,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.05263157894736842,0.0,0.04,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0196078431372549,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.02631578947368421,0.038461538461538464,0.0
F10E3,0.0,0.0,0.0,0.014925373134328358,0.0,0.016129032258064516,0.0,0.02857142857142857,0.0,1.0,0.01694915254237288,0.017857142857142856,0.0,0.0,0.025,0.0,0.0,0.0625,0.0,0.0,0.015873015873015872,0.0,0.0,0.041666666666666664,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.1111111111111111,0.0,0.0,0.018867924528301886,0.0,0.0,0.25,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.08333333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.04,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.02,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.017543859649122806,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.038461538461538464,0.0
