|       |     F10A3 |     F10A5 |     F10B3 |     F10B5 |     F10C1 |     F10C3 |     F10C4 |     F10D1 |     F10D5 |     F10E3 |     F10E5 |     F10F1 |     F10F3 |     F10F5 |     F10G2 |     F11A3 |     F11A6 |     F11B1 |     F11B2 |     F11B5 |     F11C2 |     F11D1 |     F11D2 |     F11D4 |     F11G3 |     F11G4 |     F12B1 |     F12B2 |     F12B3 |     F12C6 |     F12D4 |     F12E1 |     F12E4 |     F12E5 |     F12E6 |     F12F1 |     F12F5 |     F12G1 |     F15A3 |     F15A5 |     F15A6 |     F15B5 |     F15C5 |     F15C6 |     F15C8 |     F15D1 |     F15D2 |     F15E1 |     F15E2 |     F15E4 |     F15E5 |     F15E7 |     F15F1 |     F15F3 |     F15F5 |     F15F6 |     F15F8 |     F15H1 |     F15H5 |     F16A2 |     F16A4 |     F16A5 |     F16B1 |     F16B2 |     F16B3 |     F16B6 |     F16C1 |     F16D6 |     F16F4 |     F16G3 |     F16G4 |     F16G6 |     F17A7 |     F17B1 |     F17B7 |     F17C1 |     F17C2 |     F17C7 |     F17D6 |     F17E6 |     F17E7 |     F17F3 |     F17F5 |     F17G3 |     F17G5 |     F18B2 |     F18B4 |     F18C4 |     F18D2 |     F18E1 |     F18E2 |     F18F2 |      F3F1 |      F5A2 |      F5A4 |      F5B1 |      F5B2 |      F5B3 |      F5B4 |      F5C1 |      F5C2 |      F5C4 |      F5D1 |      F5E2 |      F5E4 |      F5F2 |      F5G2 |      F6A4 |      F6B2 |      F6B4 |      F6C2 |      F6C4 |      F6D2 |      F6E2 |      F6E4 |      F6F2 |      F6F4 |      F6G2 |      F6G3 |      F7A3 |      F7A6 |      F7B1 |      F7B2 |      F7B4 |      F7B5 |      F7B6 |      F7C1 |      F7C2 |      F7C6 |      F7D2 |      F7D3 |      F7D4 |      F7D6 |      F7E2 |      F7E6 |      F7F2 |      F7F3 |      F7F6 |      F7G2 |      F7G5 |      F8A1 |      F8A2 |      F8B2 |      F8B4 |      F8B5 |      F8C5 |      F8D3 |      F8D4 |      F8E6 |      F8G1 |      F8G2 |      F9A2 |      F9A3 |      F9A4 |      F9A5 |      F9B4 |      F9B6 |      F9C5 |      F9D3 |      F9D6 |      F9F2 |      F9F3 |      F9G3 |
|:------|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|----------:|
| F10A3 | 1         | 0.0238095 | 0         | 0.453333  | 0.0238095 | 0.424658  | 0.130435  | 0.350877  | 0         | 0         | 0.442857  | 0.507692  | 0.0869565 | 0.108696  | 0.205882  | 0.5       | 0.113636  | 0.115385  | 0.212766  | 0.142857  | 0.5       | 0.418182  | 0.104167  | 0.178571  | 0.285714  | 0.047619  | 0.0238095 | 0.0238095 | 0.0408163 | 0.130435  | 0.0238095 | 0.5       | 0.0638298 | 0.0625    | 0.106383  | 0.0238095 | 0.532258  | 0.156863  | 0.0238095 | 0.0697674 | 0.264151  | 0.0238095 | 0.176471  | 0.0681818 | 0.196078  | 0.396552  | 0.321429  | 0.215686  | 0.0465116 | 0.0444444 | 0.163265  | 0.21875   | 0.0238095 | 0         | 0.185185  | 0.0238095 | 0.0681818 | 0.0625    | 0.102041  | 0         | 0.116279  | 0.453125  | 0.0909091 | 0.290909  | 0.0652174 | 0.173077  | 0.0227273 | 0.0425532 | 0.0238095 | 0         | 0.148936  | 0.26      | 0.137255  | 0.137255  | 0.0888889 | 0.288462  | 0.0888889 | 0.222222  | 0.0638298 | 0.0465116 | 0.0238095 | 0.106383  | 0.25      | 0.276596  | 0.244444  | 0.166667  | 0.142857  | 0.0681818 | 0.0434783 | 0.0961538 | 0.0681818 | 0.0888889 | 0.485294  | 0.0652174 | 0.0851064 | 0.314286  | 0.339286  | 0.0851064 | 0.108696  | 0.0425532 | 0.0454545 | 0.0238095 | 0.0465116 | 0         | 0.111111  | 0.0909091 | 0.0909091 | 0.438356  | 0.0238095 | 0.0232558 | 0.0666667 | 0.196078  | 0.0392157 | 0.218182  | 0.208333  | 0.142857  | 0.0714286 | 0         | 0.047619  | 0.0222222 | 0.5       | 0.465753  | 0         | 0.159091  | 0.047619  | 0.12766   | 0.0238095 | 0.0232558 | 0.0888889 | 0.0232558 | 0.047619  | 0.192982  | 0         | 0.0217391 | 0         | 0         | 0.5       | 0         | 0         | 0.0697674 | 0.137255  | 0.0714286 | 0.0697674 | 0         | 0.367647  | 0.295082  | 0.322581  | 0         | 0.139535  | 0.0434783 | 0.0222222 | 0.0238095 | 0.0454545 | 0.0238095 | 0.181818  | 0         | 0.22449   | 0.0961538 | 0.133333  | 0.108696  | 0.333333  | 0.259259  | 0.266667  |
| F10A5 | 0.0238095 | 1         | 0         | 0.0149254 | 0         | 0.016129  | 0         | 0         | 0         | 0         | 0.0169492 | 0.0178571 | 0         | 0         | 0         | 0.0175439 | 0         | 0         | 0         | 0         | 0.015873  | 0.0277778 | 0         | 0         | 0.0333333 | 0         | 0         | 0         | 0         | 0         | 0         | 0.0185185 | 0         | 0         | 0         | 0         | 0.0188679 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.025641  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0196078 | 0         | 0.0344828 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0625    | 0         | 0.142857  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0169492 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.015873  | 0         | 0         | 0         | 0.0526316 | 0         | 0.04      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0384615 | 0         | 0         | 0         | 0         | 0.0144928 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0196078 | 0.027027  | 0.025     | 0         | 0.142857  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0384615 | 0         |
| F10B3 | 0         | 0         | 1         | 0.0149254 | 0         | 0.016129  | 0         | 0         | 0         | 0         | 0.0169492 | 0.0178571 | 0         | 0         | 0.025     | 0.0175439 | 0         | 0         | 0         | 0         | 0.015873  | 0         | 0.0909091 | 0         | 0.0333333 | 0         | 0         | 0         | 0         | 0         | 0         | 0.0185185 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0526316 | 0.025641  | 0         | 0         | 0         | 0         | 0         | 0.0277778 | 0         | 0         | 0.0454545 | 0         | 0         | 0         | 0         | 0         | 0         | 0.0196078 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.1       | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0169492 | 0.142857  | 0         | 0.02      | 0.030303  | 0         | 0.111111  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.015873  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0153846 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0144928 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0196078 | 0.027027  | 0.025     | 0         | 0         | 0.166667  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         |
| F10B5 | 0.453333  | 0.0149254 | 0.0149254 | 1         | 0.0149254 | 0.697368  | 0.149254  | 0.43662   | 0.0149254 | 0.0149254 | 0.68      | 0.684932  | 0.102941  | 0.117647  | 0.445946  | 0.675676  | 0.0724638 | 0.220588  | 0.205882  | 0.0735294 | 0.688312  | 0.450704  | 0.130435  | 0.318841  | 0.366197  | 0.0298507 | 0.0149254 | 0.0149254 | 0.134328  | 0.132353  | 0.0149254 | 0.635135  | 0.0869565 | 0.134328  | 0.132353  | 0.0149254 | 0.6       | 0.183099  | 0.0149254 | 0.0441176 | 0.277778  | 0.0149254 | 0.268657  | 0.0746269 | 0.246377  | 0.514286  | 0.356164  | 0.26087   | 0.0447761 | 0.0746269 | 0.171429  | 0.450704  | 0.0149254 | 0.0149254 | 0.253521  | 0.0149254 | 0.0746269 | 0.134328  | 0.179104  | 0.0597015 | 0.0895522 | 0.661972  | 0.0428571 | 0.315068  | 0.0882353 | 0.246377  | 0.0447761 | 0.0882353 | 0.0149254 | 0.0149254 | 0.144928  | 0.239437  | 0.185714  | 0.202899  | 0.0724638 | 0.295775  | 0.0882353 | 0.19403   | 0.0714286 | 0.0294118 | 0.0149254 | 0.132353  | 0.25      | 0.25      | 0.208955  | 0.239437  | 0.191176  | 0.0588235 | 0.0735294 | 0.15493   | 0.0588235 | 0.0571429 | 0.702703  | 0.0882353 | 0.134328  | 0.539474  | 0.369863  | 0.101449  | 0.101449  | 0.104478  | 0.0441176 | 0         | 0.0447761 | 0.0149254 | 0.0714286 | 0.0735294 | 0.057971  | 0.710526  | 0.0149254 | 0.0298507 | 0.0735294 | 0.211268  | 0.130435  | 0.277778  | 0.185714  | 0.191176  | 0.0294118 | 0.0149254 | 0.0298507 | 0.0597015 | 0.69863   | 0.736842  | 0.0149254 | 0.101449  | 0.0298507 | 0.164179  | 0.0149254 | 0.0298507 | 0.0571429 | 0.0298507 | 0.0298507 | 0.328571  | 0.0149254 | 0.0746269 | 0.0149254 | 0.0149254 | 0.789474  | 0.0149254 | 0.0149254 | 0.0441176 | 0.152778  | 0.0447761 | 0.0597015 | 0.0149254 | 0.638889  | 0.424658  | 0.426667  | 0.0149254 | 0.0724638 | 0.0895522 | 0.0441176 | 0.0149254 | 0.0597015 | 0.0149254 | 0.149254  | 0.0149254 | 0.268657  | 0.205882  | 0.117647  | 0.117647  | 0.5       | 0.291667  | 0.205882  |
| F10C1 | 0.0238095 | 0         | 0         | 0.0149254 | 1         | 0.016129  | 0.1       | 0.0285714 | 0         | 0         | 0.0169492 | 0.0178571 | 0         | 0         | 0         | 0.0175439 | 0         | 0         | 0.0666667 | 0         | 0.015873  | 0.0277778 | 0         | 0.0416667 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0185185 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.025641  | 0.03125   | 0         | 0.333333  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.111111  | 0.0833333 | 0         | 0         | 0.0196078 | 0         | 0         | 0         | 0.0526316 | 0         | 0         | 0         | 0         | 0         | 0.047619  | 0         | 0.0625    | 0         | 0.04      | 0         | 0.0769231 | 0         | 0         | 0         | 0         | 0.0555556 | 0.0555556 | 0.0714286 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0169492 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0625    | 0         | 0         | 0         | 0         | 0         | 0.0175439 | 0.0153846 | 0         | 0         | 0         | 0         | 1         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0144928 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0196078 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.111111  | 0.0263158 | 0         | 0         |
| F10C3 | 0.424658  | 0.016129  | 0.016129  | 0.697368  | 0.016129  | 1         | 0.0746269 | 0.385714  | 0.016129  | 0.016129  | 0.635135  | 0.573333  | 0.129032  | 0.126984  | 0.43662   | 0.608108  | 0.0952381 | 0.21875   | 0.184615  | 0.0793651 | 0.689189  | 0.361111  | 0.123077  | 0.30303   | 0.373134  | 0.0322581 | 0.016129  | 0         | 0.109375  | 0.142857  | 0.016129  | 0.567568  | 0.09375   | 0.109375  | 0.125     | 0.016129  | 0.575342  | 0.274194  | 0.016129  | 0.0645161 | 0.298507  | 0.016129  | 0.212121  | 0.0634921 | 0.208955  | 0.442857  | 0.382353  | 0.223881  | 0.031746  | 0.0151515 | 0.222222  | 0.462687  | 0.016129  | 0         | 0.3125    | 0.016129  | 0.0806452 | 0.0923077 | 0.0882353 | 0.0645161 | 0.030303  | 0.486842  | 0.0625    | 0.28169   | 0.0952381 | 0.246154  | 0.031746  | 0.0952381 | 0         | 0.016129  | 0.104478  | 0.276923  | 0.2       | 0.238095  | 0.0952381 | 0.298507  | 0.112903  | 0.119403  | 0.129032  | 0.0483871 | 0.016129  | 0.125     | 0.142857  | 0.15942   | 0.134328  | 0.220588  | 0.169231  | 0.0806452 | 0.0793651 | 0.184615  | 0.0634921 | 0.112903  | 0.592105  | 0.112903  | 0.126984  | 0.555556  | 0.319444  | 0.145161  | 0.126984  | 0.078125  | 0.0645161 | 0.016129  | 0.0483871 | 0.016129  | 0.129032  | 0.0967742 | 0.0967742 | 0.623377  | 0.016129  | 0.015873  | 0.0793651 | 0.246154  | 0.15873   | 0.338462  | 0.181818  | 0.134328  | 0.0483871 | 0.016129  | 0.0322581 | 0.047619  | 0.608108  | 0.649351  | 0.016129  | 0.126984  | 0.0322581 | 0.0735294 | 0.016129  | 0.0322581 | 0.0952381 | 0.0322581 | 0.015873  | 0.257143  | 0.016129  | 0.0806452 | 0.016129  | 0.016129  | 0.701299  | 0.016129  | 0.016129  | 0.0645161 | 0.2       | 0.031746  | 0.047619  | 0.016129  | 0.527027  | 0.394366  | 0.43662   | 0.016129  | 0.078125  | 0.0625    | 0.047619  | 0.016129  | 0.047619  | 0.016129  | 0.0746269 | 0.016129  | 0.290323  | 0.203125  | 0.145161  | 0.145161  | 0.470588  | 0.333333  | 0.132353  |
| F10C4 | 0.130435  | 0         | 0         | 0.149254  | 0.1       | 0.0746269 | 1         | 0.25      | 0         | 0         | 0.131148  | 0.157895  | 0.0588235 | 0.117647  | 0.0204082 | 0.175439  | 0.0625    | 0         | 0.190476  | 0         | 0.140625  | 0.15      | 0         | 0.133333  | 0.0810811 | 0         | 0         | 0         | 0         | 0         | 0         | 0.142857  | 0.125     | 0.1875    | 0.176471  | 0         | 0.145455  | 0.0384615 | 0         | 0         | 0         | 0         | 0.12      | 0         | 0.115385  | 0.113636  | 0.0769231 | 0.0714286 | 0.3       | 0.0714286 | 0.0869565 | 0.0697674 | 0         | 0         | 0.103448  | 0         | 0         | 0.266667  | 0.375     | 0.0769231 | 0.230769  | 0.173077  | 0.0666667 | 0.0833333 | 0         | 0.115385  | 0         | 0         | 0         | 0         | 0.157895  | 0.148148  | 0         | 0.0833333 | 0         | 0.129032  | 0.133333  | 0.4375    | 0.0588235 | 0         | 0         | 0.111111  | 0.217391  | 0.473684  | 0.2       | 0.148148  | 0.142857  | 0         | 0         | 0         | 0         | 0         | 0.169492  | 0         | 0         | 0.0714286 | 0.075     | 0.0555556 | 0.0555556 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.123077  | 0         | 0.0909091 | 0         | 0         | 0.05      | 0         | 0.130435  | 0.142857  | 0         | 0         | 0         | 0.0769231 | 0.175439  | 0.153846  | 0         | 0         | 0         | 0.4       | 0.1       | 0         | 0         | 0         | 0.2       | 0.0909091 | 0         | 0         | 0         | 0         | 0.128571  | 0         | 0         | 0.0769231 | 0         | 0         | 0.0769231 | 0         | 0.109091  | 0.0930233 | 0.0416667 | 0         | 0.0625    | 0.230769  | 0         | 0.1       | 0.0769231 | 0.1       | 0.25      | 0         | 0.12      | 0.0869565 | 0         | 0.0555556 | 0.0909091 | 0.0909091 | 0.136364  |
| F10D1 | 0.350877  | 0         | 0         | 0.43662   | 0.0285714 | 0.385714  | 0.25      | 1         | 0         | 0.0285714 | 0.323944  | 0.358209  | 0.228571  | 0.257143  | 0.153846  | 0.333333  | 0.105263  | 0.275     | 0.428571  | 0.171429  | 0.484848  | 0.365385  | 0.0454545 | 0.311111  | 0.226415  | 0.0571429 | 0.0285714 | 0.0285714 | 0.047619  | 0.285714  | 0         | 0.308824  | 0.102564  | 0.189189  | 0.285714  | 0.0285714 | 0.419355  | 0.405405  | 0         | 0.114286  | 0.0169492 | 0.0285714 | 0.358974  | 0         | 0.148936  | 0.121212  | 0.240741  | 0.0784314 | 0.0857143 | 0.0810811 | 0.315789  | 0.183333  | 0         | 0         | 0.425     | 0         | 0.142857  | 0.257143  | 0.342857  | 0.0540541 | 0.108108  | 0.194444  | 0.025     | 0.0666667 | 0.0243902 | 0.5       | 0         | 0.135135  | 0         | 0.0285714 | 0.27027   | 0.513514  | 0.0408163 | 0.416667  | 0.0243902 | 0.2       | 0.0769231 | 0.263158  | 0.131579  | 0.0555556 | 0         | 0.097561  | 0.204545  | 0.358974  | 0.139535  | 0.473684  | 0.195122  | 0.142857  | 0         | 0.0204082 | 0.111111  | 0.135135  | 0.446154  | 0         | 0.047619  | 0.180556  | 0.0793651 | 0.157895  | 0.0232558 | 0.0243902 | 0.0263158 | 0.0285714 | 0.027027  | 0         | 0.075     | 0.025     | 0         | 0.289474  | 0         | 0.0571429 | 0.0512821 | 0.0384615 | 0.210526  | 0.0169492 | 0.457143  | 0.0888889 | 0.0555556 | 0         | 0.0277778 | 0.0540541 | 0.460317  | 0.449275  | 0.0285714 | 0.0232558 | 0         | 0.314286  | 0.0285714 | 0.0277778 | 0.135135  | 0.0571429 | 0.0571429 | 0.297872  | 0.0285714 | 0.111111  | 0.0285714 | 0.0285714 | 0.444444  | 0.0285714 | 0.0285714 | 0.114286  | 0.0851064 | 0.0857143 | 0.0263158 | 0.0285714 | 0.178082  | 0.16129   | 0.153846  | 0         | 0.05      | 0.0789474 | 0.0540541 | 0.0285714 | 0.0833333 | 0.0285714 | 0.216216  | 0         | 0.177778  | 0.25      | 0.257143  | 0.222222  | 0.431373  | 0.109091  | 0.136364  |
| F10D5 | 0         | 0         | 0         | 0.0149254 | 0         | 0.016129  | 0         | 0         | 1         | 0         | 0.0169492 | 0         | 0         | 0         | 0.025     | 0.0175439 | 0         | 0         | 0         | 0         | 0.015873  | 0         | 0.0909091 | 0.0416667 | 0         | 0         | 0         | 0         | 0.111111  | 0         | 0         | 0.0185185 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.04      | 0         | 0         | 0         | 0         | 0.025641  | 0         | 0.05      | 0         | 0         | 0         | 0.0277778 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0196078 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.166667  | 0.0666667 | 0         | 0         | 0.0169492 | 0         | 0         | 0.02      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.015873  | 0         | 0         | 0         | 0.0526316 | 0         | 0.04      | 0         | 0.0714286 | 0         | 0         | 0         | 0         | 0         | 0.0153846 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0384615 | 0         | 0         | 0         | 0         | 0.0144928 | 0         | 0         | 0         | 0.0625    | 0         | 0         | 0         | 0.0196078 | 0         | 0.025     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0555556 | 0         | 0         | 0         | 0.0263158 | 0.0384615 | 0         |
